Economie,Jaar,CO2,N2O,CH4,Broeikasgas-equivalent,NOx,SO2,NH3,Zuur-equivalent,CFK12-equivalent,CO,NMVOS,PM10
Delfstoffenwinning,1997,2308,0.0,46.7,3477,6.8,3.1,0.1,0.2,0.0,1.8,11.4,1.8
Delfstoffenwinning,1998,2342,0.0,47.1,3521,7.1,3.6,0.0,0.3,0.0,1.3,11.9,1.1
Delfstoffenwinning,1999,2194,0.0,40.1,3197,6.9,0.4,0.0,0.2,0.0,1.0,11.3,2.2
Delfstoffenwinning,2000,2197,0.0,37.1,3124,6.4,0.7,0.0,0.2,0.0,0.8,10.8,0.1
Delfstoffenwinning,2001,2257,0.0,36.6,3172,6.7,0.5,0.0,0.2,0.3,0.9,9.8,0.1
Delfstoffenwinning,2002,2402,0.0,34.9,3275,6.6,0.8,0.0,0.2,0.0,0.6,8.9,0.1
Delfstoffenwinning,2003,2353,0.0,34.4,3214,6.0,0.4,0.0,0.1,0.0,0.4,7.1,0.3
Delfstoffenwinning,2004,2412,0.0,32.4,3224,5.0,0.4,0.0,0.1,0.0,0.9,5.7,0.1
Delfstoffenwinning,2005,2467,0.0,35.0,3341,5.2,0.3,0.0,0.1,0.0,0.7,6.1,0.0
Delfstoffenwinning,2006,2375,0.0,31.4,3163,5.2,0.3,0.0,0.1,0.0,0.8,6.0,0.1
Delfstoffenwinning,2007,2213,0.0,34.0,3073,5.2,0.3,0.0,0.1,0.0,1.3,7.3,0.1
Delfstoffenwinning,2008,2213,0.0,35.7,3114,5.0,0.3,0.0,0.1,0.0,0.9,7.2,0.1
Delfstoffenwinning,2009,2165,0.0,30.0,2923,2.7,0.2,0.0,0.1,0.0,0.2,6.3,0.0
Delfstoffenwinning,2010,2361,0.0,33.1,3196,4.9,0.3,0.0,0.1,0.0,0.6,6.6,0.0
Delfstoffenwinning,2011,2296,0.0,33.3,3137,5.1,0.4,0.0,0.1,0.0,0.6,8.5,0.0
Delfstoffenwinning,2012,2391,0.0,31.5,3186,5.5,0.3,0.0,0.1,0.0,0.6,7.2,0.0
Delfstoffenwinning,2013,2435,0.0,28.7,3161,5.7,0.4,0.0,0.1,0.0,0.3,6.6,0.0
Delfstoffenwinning,2014,2364,0.0,27.8,3068,6.2,0.3,0.0,0.1,0.0,0.4,6.0,0.0
Delfstoffenwinning,2015,2082,0.0,26.4,2752,6.0,0.2,0.0,0.1,0.0,0.5,6.2,0.0
Delfstoffenwinning,2016,1883,0.0,24.6,2507,4.5,0.1,0.0,0.1,0.0,0.5,5.3,0.0
Delfstoffenwinning,2017,1921,0.0,21.2,2463,4.1,0.2,0.0,0.1,0.0,0.6,4.7,0.0
Delfstoffenwinning,2018,1833,0.0,18.4,2305,3.7,0.1,0.0,0.1,0.0,0.8,3.0,0.0
Delfstoffenwinning,2019,1841,0.0,17.9,2299,3.7,0.1,0.0,0.1,0.0,0.8,2.9,0.0
Industrie,1990,52452,23.9,15.2,68218,109.8,118.7,4.6,6.4,3419.5,296.8,159.1,34.0
Industrie,1991,54738,23.9,15.4,69116,101.6,98.0,4.8,5.6,2810.2,288.6,149.1,31.5
Industrie,1992,55523,24.0,15.5,70996,98.9,97.0,4.9,5.5,2201.0,279.6,138.9,29.0
Industrie,1993,51289,25.7,15.3,67951,92.1,96.6,4.4,5.3,1591.7,270.2,128.7,26.5
Industrie,1994,51480,25.2,15.4,69818,88.1,91.4,4.6,5.0,982.5,260.2,118.4,24.0
Industrie,1995,48137,23.9,15.2,65249,85.4,91.1,4.1,4.9,373.3,250.1,110.1,22.2
Industrie,1996,49046,23.9,15.4,68406,84.6,83.7,3.7,4.7,283.6,240.9,99.6,17.4
Industrie,1997,48559,23.8,15.4,68694,77.4,79.7,3.4,4.4,194.0,213.9,88.9,14.8
Industrie,1998,48514,23.8,15.4,69422,66.2,71.1,3.1,3.8,102.6,214.1,87.8,13.8
Industrie,1999,47478,22.7,15.8,62269,60.4,63.5,2.8,3.5,52.0,200.0,82.1,13.0
Industrie,2000,47311,23.2,15.8,60275,56.3,46.9,2.7,2.8,41.9,197.5,81.7,13.4
Industrie,2001,46736,21.2,15.5,56493,57.1,50.3,2.8,3.0,34.3,195.6,67.1,12.6
Industrie,2002,46129,20.4,16.9,56337,55.8,45.5,2.5,2.8,19.2,184.0,63.5,12.7
Industrie,2003,47220,20.6,16.9,55561,54.7,41.7,2.7,2.6,0.1,177.2,58.8,11.7
Industrie,2004,47155,22.5,17.0,55633,55.2,47.8,3.2,2.9,0.1,202.4,56.3,11.1
Industrie,2005,47078,22.6,16.8,55382,53.9,47.4,2.4,2.8,0.0,190.0,58.9,10.2
Industrie,2006,46264,22.5,15.6,54634,52.7,47.8,2.3,2.8,0.0,196.5,54.1,10.1
Industrie,2007,47147,18.2,15.7,54300,50.6,45.7,2.0,2.6,0.0,189.1,53.2,9.7
Industrie,2008,46653,6.0,15.3,50084,49.5,40.5,2.1,2.5,0.0,191.4,51.4,9.0
Industrie,2009,42715,6.2,15.3,46178,42.4,28.1,1.9,1.9,0.0,152.2,45.8,8.1
Industrie,2010,45646,5.3,15.9,49210,43.1,25.1,1.8,1.8,0.0,159.7,52.9,8.1
Industrie,2011,45146,5.3,16.1,48347,42.6,25.4,2.0,1.8,0.0,148.2,50.6,7.9
Industrie,2012,44491,5.3,15.9,47634,40.2,24.4,1.7,1.7,0.0,139.8,50.5,7.4
Industrie,2013,43708,5.3,15.2,46652,37.5,18.8,1.5,1.5,0.0,125.6,45.7,7.4
Industrie,2014,43433,5.6,15.5,46112,36.0,19.3,1.4,1.5,0.0,125.0,44.9,7.2
Industrie,2015,44499,5.6,15.5,47313,35.1,20.4,1.4,1.5,0.0,130.3,42.9,7.2
Industrie,2016,45181,4.9,15.6,47732,34.9,20.1,1.7,1.5,0.0,127.1,38.7,7.3
Industrie,2017,46599,5.2,15.9,49143,33.2,20.4,1.6,1.5,0.0,120.2,40.1,7.4
Industrie,2018,46398,4.7,15.6,48925,33.8,19.2,1.8,1.4,0.0,121.9,35.1,7.2
Industrie,2019,46369,4.7,15.6,49033,33.2,17.9,1.8,1.4,0.0,121.2,34.6,7.0
"Voedings-, genotmiddelenindustrie",1990,4591,0.0,0.7,4611,11.3,1.9,0.2,0.3,286.7,12.3,12.9,4.9
"Voedings-, genotmiddelenindustrie",1991,4663,0.0,0.7,4684,9.1,1.2,0.3,0.3,253.0,13.4,12.8,4.4
"Voedings-, genotmiddelenindustrie",1992,4954,0.0,0.8,4977,10.3,1.4,0.3,0.3,219.3,14.2,12.6,3.8
"Voedings-, genotmiddelenindustrie",1993,5101,0.0,0.8,5126,10.3,1.6,0.3,0.3,185.6,15.0,12.4,3.3
"Voedings-, genotmiddelenindustrie",1994,5012,0.0,0.8,5036,9.4,1.0,0.4,0.3,151.8,15.5,12.2,2.8
"Voedings-, genotmiddelenindustrie",1995,4656,0.0,0.8,4712,9.0,0.9,0.3,0.2,118.1,16.1,12.5,2.7
"Voedings-, genotmiddelenindustrie",1996,4947,0.0,0.9,5012,9.1,0.7,0.3,0.2,89.1,17.1,10.9,2.4
"Voedings-, genotmiddelenindustrie",1997,4788,0.0,0.9,4856,7.1,0.3,0.2,0.2,60.1,13.5,10.2,2.1
"Voedings-, genotmiddelenindustrie",1998,4859,0.0,0.9,4931,7.1,0.5,0.3,0.2,31.0,13.6,11.4,2.1
"Voedings-, genotmiddelenindustrie",1999,5154,0.0,1.0,5208,7.4,0.5,0.3,0.2,2.0,14.2,10.5,2.2
"Voedings-, genotmiddelenindustrie",2000,4938,0.0,1.0,5176,7.1,0.6,0.2,0.2,1.7,13.9,11.9,2.3
"Voedings-, genotmiddelenindustrie",2001,4747,0.0,1.0,5045,6.8,1.2,0.4,0.2,1.1,14.2,11.4,2.2
"Voedings-, genotmiddelenindustrie",2002,4872,0.0,1.0,5223,6.6,0.9,0.4,0.2,0.5,14.4,10.5,2.2
"Voedings-, genotmiddelenindustrie",2003,4700,0.0,1.0,5110,5.7,0.5,0.5,0.2,0.1,11.9,10.6,2.1
"Voedings-, genotmiddelenindustrie",2004,4604,0.0,0.9,5066,6.2,0.6,0.5,0.2,0.0,13.3,10.5,2.1
"Voedings-, genotmiddelenindustrie",2005,4497,0.0,0.9,5012,6.5,0.5,0.4,0.2,0.0,13.8,11.0,2.1
"Voedings-, genotmiddelenindustrie",2006,4290,0.0,0.9,4855,6.2,0.7,0.4,0.2,0.0,13.0,10.5,2.0
"Voedings-, genotmiddelenindustrie",2007,4332,0.0,0.9,4954,6.2,0.8,0.3,0.2,0.0,9.8,10.9,2.0
"Voedings-, genotmiddelenindustrie",2008,4162,0.0,0.8,4842,5.9,0.7,0.4,0.2,0.0,10.9,10.8,2.0
"Voedings-, genotmiddelenindustrie",2009,3781,0.0,0.8,4507,5.3,0.5,0.4,0.2,0.0,11.3,10.7,1.9
"Voedings-, genotmiddelenindustrie",2010,3932,0.0,0.8,4681,5.2,0.5,0.5,0.2,0.0,10.7,10.7,1.9
"Voedings-, genotmiddelenindustrie",2011,4126,0.0,0.8,4892,4.8,0.4,0.5,0.1,0.0,10.6,10.8,1.8
"Voedings-, genotmiddelenindustrie",2012,3950,0.0,0.6,4739,4.5,0.5,0.4,0.1,0.0,10.3,10.1,1.8
"Voedings-, genotmiddelenindustrie",2013,3840,0.0,0.6,4440,4.3,0.4,0.4,0.1,0.0,10.7,9.3,1.8
"Voedings-, genotmiddelenindustrie",2014,4063,0.0,0.6,4563,4.3,0.5,0.3,0.1,0.0,11.2,9.1,1.9
"Voedings-, genotmiddelenindustrie",2015,4126,0.0,0.8,4678,4.0,0.5,0.4,0.1,0.0,10.8,9.0,1.9
"Voedings-, genotmiddelenindustrie",2016,4216,0.0,0.9,4664,3.7,0.4,0.4,0.1,0.0,10.7,8.3,2.0
"Voedings-, genotmiddelenindustrie",2017,4401,0.0,0.8,4848,3.4,0.5,0.4,0.1,0.0,11.0,8.4,2.0
"Voedings-, genotmiddelenindustrie",2018,4432,0.0,0.8,4880,3.5,0.4,0.4,0.1,0.0,11.4,8.6,2.1
"Voedings-, genotmiddelenindustrie",2019,4788,0.0,0.9,5237,3.4,0.4,0.4,0.1,0.0,11.5,8.7,2.1
"Textiel-, kleding-, lederindustrie",1990,311,0.0,0.0,312,0.9,0.8,0.0,0.0,0.0,0.9,2.6,0.3
"Textiel-, kleding-, lederindustrie",1991,321,0.0,0.0,322,0.8,0.4,0.0,0.0,0.0,0.9,2.2,0.3
"Textiel-, kleding-, lederindustrie",1992,340,0.0,0.0,342,0.6,0.2,0.0,0.0,0.0,1.0,1.9,0.2
"Textiel-, kleding-, lederindustrie",1993,344,0.0,0.0,345,0.6,0.1,0.0,0.0,0.0,1.0,1.5,0.2
"Textiel-, kleding-, lederindustrie",1994,342,0.0,0.0,343,0.6,0.0,0.0,0.0,0.0,1.0,1.1,0.2
"Textiel-, kleding-, lederindustrie",1995,423,0.0,0.0,424,0.6,0.0,0.0,0.0,0.0,1.2,0.8,0.1
"Textiel-, kleding-, lederindustrie",1996,380,0.0,0.0,381,0.6,0.0,0.0,0.0,0.0,1.2,0.9,0.0
"Textiel-, kleding-, lederindustrie",1997,424,0.0,0.0,426,0.7,0.0,0.0,0.0,0.0,1.1,0.7,0.0
"Textiel-, kleding-, lederindustrie",1998,446,0.0,0.0,447,0.5,0.0,0.0,0.0,0.0,1.3,0.7,0.0
"Textiel-, kleding-, lederindustrie",1999,368,0.0,0.0,369,0.5,0.0,0.0,0.0,0.0,1.8,0.8,0.0
"Textiel-, kleding-, lederindustrie",2000,406,0.0,0.0,407,0.5,0.0,0.0,0.0,0.0,1.9,0.7,0.1
"Textiel-, kleding-, lederindustrie",2001,337,0.0,0.0,338,0.5,0.0,0.0,0.0,0.0,1.9,0.7,0.1
"Textiel-, kleding-, lederindustrie",2002,332,0.0,0.0,333,0.5,0.0,0.0,0.0,0.0,1.9,0.7,0.1
"Textiel-, kleding-, lederindustrie",2003,332,0.0,0.0,333,0.4,0.0,0.0,0.0,0.0,1.9,0.6,0.1
"Textiel-, kleding-, lederindustrie",2004,289,0.0,0.0,290,0.4,0.0,0.0,0.0,0.0,1.6,0.6,0.1
"Textiel-, kleding-, lederindustrie",2005,250,0.0,0.0,251,0.4,0.0,0.0,0.0,0.0,1.6,0.6,0.1
"Textiel-, kleding-, lederindustrie",2006,220,0.0,0.0,221,0.3,0.0,0.0,0.0,0.0,1.4,0.7,0.1
"Textiel-, kleding-, lederindustrie",2007,217,0.0,0.0,218,0.3,0.0,0.0,0.0,0.0,0.8,0.6,0.1
"Textiel-, kleding-, lederindustrie",2008,214,0.0,0.0,215,0.3,0.0,0.0,0.0,0.0,0.8,0.6,0.1
"Textiel-, kleding-, lederindustrie",2009,204,0.0,0.0,205,0.3,0.0,0.0,0.0,0.0,0.8,0.5,0.1
"Textiel-, kleding-, lederindustrie",2010,226,0.0,0.0,227,0.3,0.0,0.0,0.0,0.0,1.1,0.5,0.1
"Textiel-, kleding-, lederindustrie",2011,198,0.0,0.0,199,0.3,0.0,0.0,0.0,0.0,1.1,0.5,0.1
"Textiel-, kleding-, lederindustrie",2012,204,0.0,0.0,205,0.3,0.0,0.0,0.0,0.0,0.8,0.5,0.1
"Textiel-, kleding-, lederindustrie",2013,190,0.0,0.0,191,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.1
"Textiel-, kleding-, lederindustrie",2014,156,0.0,0.0,157,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.1
"Textiel-, kleding-, lederindustrie",2015,155,0.0,0.0,156,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.1
"Textiel-, kleding-, lederindustrie",2016,166,0.0,0.0,167,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.1
"Textiel-, kleding-, lederindustrie",2017,171,0.0,0.0,172,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.1
"Textiel-, kleding-, lederindustrie",2018,165,0.0,0.0,166,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.1
"Textiel-, kleding-, lederindustrie",2019,154,0.0,0.0,155,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.1
"Hout-, papier-, grafische industr.",1990,1935,0.0,0.2,1943,4.2,0.3,0.1,0.1,50.2,3.8,22.3,1.0
"Hout-, papier-, grafische industr.",1991,2037,0.0,0.2,2046,4.4,0.3,0.1,0.1,40.2,4.3,21.4,1.0
"Hout-, papier-, grafische industr.",1992,2013,0.0,0.2,2022,4.0,0.2,0.1,0.1,30.1,4.8,20.5,0.9
"Hout-, papier-, grafische industr.",1993,1949,0.0,0.2,1958,4.0,0.2,0.1,0.1,20.1,5.1,19.6,0.9
"Hout-, papier-, grafische industr.",1994,1970,0.0,0.3,1979,3.8,0.2,0.1,0.1,10.0,5.5,18.7,0.9
"Hout-, papier-, grafische industr.",1995,1635,0.0,0.2,1643,3.8,0.1,0.1,0.1,0.0,5.7,18.3,0.9
"Hout-, papier-, grafische industr.",1996,1761,0.0,0.2,1770,3.3,0.1,0.0,0.1,0.0,5.6,15.9,0.1
"Hout-, papier-, grafische industr.",1997,1774,0.0,0.2,1783,3.3,0.1,0.1,0.1,0.0,3.9,15.6,0.1
"Hout-, papier-, grafische industr.",1998,1763,0.0,0.2,1771,3.1,0.1,0.1,0.1,0.0,4.5,18.2,0.1
"Hout-, papier-, grafische industr.",1999,1798,0.0,0.2,1806,2.5,0.1,0.0,0.1,0.0,4.5,15.8,0.1
"Hout-, papier-, grafische industr.",2000,1849,0.0,0.2,1857,3.4,0.1,0.1,0.1,0.0,5.0,14.5,0.9
"Hout-, papier-, grafische industr.",2001,1717,0.0,0.2,1725,3.1,0.0,0.1,0.1,0.0,5.1,11.1,0.8
"Hout-, papier-, grafische industr.",2002,1771,0.0,0.2,1779,3.2,0.1,0.0,0.1,0.1,5.6,10.7,0.8
"Hout-, papier-, grafische industr.",2003,1695,0.0,0.2,1703,3.2,0.1,0.0,0.1,0.0,4.8,8.1,0.8
"Hout-, papier-, grafische industr.",2004,1716,0.0,0.2,1724,3.2,0.1,0.1,0.1,0.0,6.0,7.1,0.8
"Hout-, papier-, grafische industr.",2005,1964,0.0,0.2,1972,3.0,0.1,0.1,0.1,0.0,6.8,6.7,0.7
"Hout-, papier-, grafische industr.",2006,1884,0.0,0.2,1893,2.8,0.1,0.1,0.1,0.0,6.2,6.0,0.7
"Hout-, papier-, grafische industr.",2007,1629,0.0,0.2,1637,2.7,0.1,0.1,0.1,0.0,4.5,5.6,0.6
"Hout-, papier-, grafische industr.",2008,1446,0.0,0.2,1455,2.5,0.1,0.1,0.1,0.0,4.6,5.1,0.6
"Hout-, papier-, grafische industr.",2009,1363,0.0,0.2,1372,2.3,0.0,0.0,0.1,0.0,4.5,4.7,0.6
"Hout-, papier-, grafische industr.",2010,1457,0.0,0.2,1465,2.2,0.0,0.0,0.1,0.0,4.9,4.4,0.5
"Hout-, papier-, grafische industr.",2011,1356,0.0,0.2,1364,2.2,0.0,0.0,0.1,0.0,4.2,4.1,0.5
"Hout-, papier-, grafische industr.",2012,1341,0.0,0.2,1349,2.1,0.0,0.0,0.0,0.0,3.9,4.3,0.5
"Hout-, papier-, grafische industr.",2013,1221,0.0,0.2,1229,2.0,0.0,0.0,0.0,0.0,3.5,4.3,0.5
"Hout-, papier-, grafische industr.",2014,1262,0.0,0.2,1270,1.9,0.0,0.0,0.0,0.0,3.7,3.9,0.5
"Hout-, papier-, grafische industr.",2015,1128,0.0,0.2,1135,1.7,0.0,0.0,0.0,0.0,3.6,3.6,0.5
"Hout-, papier-, grafische industr.",2016,1139,0.0,0.2,1147,1.7,0.0,0.0,0.0,0.0,3.6,4.0,0.5
"Hout-, papier-, grafische industr.",2017,1117,0.0,0.2,1123,1.6,0.0,0.0,0.0,0.0,3.2,3.9,0.5
"Hout-, papier-, grafische industr.",2018,1022,0.0,0.2,1028,1.4,0.0,0.0,0.0,0.0,3.1,0.8,0.5
"Hout-, papier-, grafische industr.",2019,1195,0.0,0.2,1202,1.4,0.0,0.0,0.0,0.0,2.9,0.8,0.5
Houtindustrie,1990,179,0.0,0.0,181,0.5,0.0,0.0,0.0,0.0,1.0,5.3,0.5
Houtindustrie,1991,200,0.0,0.0,202,0.4,0.0,0.0,0.0,0.0,1.2,4.9,0.5
Houtindustrie,1992,200,0.0,0.0,202,0.4,0.0,0.0,0.0,0.0,1.4,4.6,0.5
Houtindustrie,1993,185,0.0,0.0,187,0.5,0.0,0.0,0.0,0.0,1.5,4.3,0.5
Houtindustrie,1994,190,0.0,0.0,193,0.5,0.0,0.0,0.0,0.0,1.6,3.9,0.5
Houtindustrie,1995,174,0.0,0.0,176,0.5,0.0,0.0,0.0,0.0,1.7,4.0,0.4
Houtindustrie,1996,181,0.0,0.0,183,0.5,0.0,0.0,0.0,0.0,1.7,3.1,0.0
Houtindustrie,1997,178,0.0,0.0,180,0.5,0.0,0.0,0.0,0.0,1.5,3.1,0.0
Houtindustrie,1998,180,0.0,0.0,182,0.6,0.0,0.0,0.0,0.0,1.7,5.6,0.0
Houtindustrie,1999,190,0.0,0.0,193,0.6,0.0,0.0,0.0,0.0,2.2,4.3,0.0
Houtindustrie,2000,220,0.0,0.0,222,0.5,0.0,0.0,0.0,0.0,1.6,3.1,0.4
Houtindustrie,2001,174,0.0,0.0,176,0.5,0.0,0.0,0.0,0.0,1.6,3.1,0.4
Houtindustrie,2002,177,0.0,0.0,179,0.4,0.0,0.0,0.0,0.0,1.5,2.8,0.4
Houtindustrie,2003,163,0.0,0.0,165,0.4,0.0,0.0,0.0,0.0,0.8,2.2,0.4
Houtindustrie,2004,167,0.0,0.0,169,0.5,0.0,0.0,0.0,0.0,2.0,1.4,0.4
Houtindustrie,2005,174,0.0,0.0,176,0.5,0.0,0.0,0.0,0.0,1.9,0.9,0.3
Houtindustrie,2006,170,0.0,0.0,172,0.5,0.0,0.0,0.0,0.0,1.7,0.9,0.3
Houtindustrie,2007,161,0.0,0.0,163,0.5,0.0,0.0,0.0,0.0,1.3,0.7,0.3
Houtindustrie,2008,166,0.0,0.0,169,0.5,0.0,0.0,0.0,0.0,1.4,0.7,0.3
Houtindustrie,2009,186,0.0,0.0,188,0.5,0.0,0.0,0.0,0.0,1.6,0.6,0.2
Houtindustrie,2010,178,0.0,0.0,180,0.4,0.0,0.0,0.0,0.0,1.6,0.5,0.2
Houtindustrie,2011,179,0.0,0.0,182,0.4,0.0,0.0,0.0,0.0,1.5,0.5,0.2
Houtindustrie,2012,166,0.0,0.0,168,0.4,0.0,0.0,0.0,0.0,1.2,0.5,0.2
Houtindustrie,2013,146,0.0,0.0,148,0.4,0.0,0.0,0.0,0.0,0.9,0.4,0.2
Houtindustrie,2014,183,0.0,0.0,185,0.4,0.0,0.0,0.0,0.0,1.2,0.4,0.2
Houtindustrie,2015,175,0.0,0.0,177,0.3,0.0,0.0,0.0,0.0,1.1,0.3,0.2
Houtindustrie,2016,191,0.0,0.0,194,0.4,0.0,0.0,0.0,0.0,1.2,0.3,0.2
Houtindustrie,2017,124,0.0,0.0,126,0.3,0.0,0.0,0.0,0.0,1.0,0.3,0.2
Houtindustrie,2018,123,0.0,0.0,125,0.2,0.0,0.0,0.0,0.0,1.0,0.2,0.2
Houtindustrie,2019,108,0.0,0.0,109,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.2
Papierindustrie,1990,1520,0.0,0.2,1525,3.3,0.3,0.1,0.1,0.0,1.9,3.9,0.4
Papierindustrie,1991,1452,0.0,0.2,1456,3.6,0.2,0.1,0.1,0.0,2.1,3.4,0.4
Papierindustrie,1992,1427,0.0,0.2,1432,3.1,0.1,0.1,0.1,0.0,2.3,2.8,0.4
Papierindustrie,1993,1394,0.0,0.2,1399,3.1,0.2,0.1,0.1,0.0,2.5,2.2,0.4
Papierindustrie,1994,1531,0.0,0.2,1537,2.8,0.1,0.1,0.1,0.0,2.6,1.7,0.4
Papierindustrie,1995,1269,0.0,0.2,1274,2.8,0.1,0.1,0.1,0.0,2.7,1.1,0.4
Papierindustrie,1996,1360,0.0,0.2,1365,2.3,0.1,0.0,0.1,0.0,2.3,0.3,0.0
Papierindustrie,1997,1396,0.0,0.2,1402,2.3,0.1,0.1,0.1,0.0,1.8,0.2,0.0
Papierindustrie,1998,1368,0.0,0.2,1374,2.0,0.1,0.1,0.1,0.0,2.0,0.2,0.0
Papierindustrie,1999,1379,0.0,0.2,1385,1.3,0.0,0.0,0.0,0.0,1.3,0.3,0.0
Papierindustrie,2000,1403,0.0,0.2,1408,2.4,0.1,0.1,0.1,0.0,2.2,0.5,0.4
Papierindustrie,2001,1313,0.0,0.2,1318,2.1,0.0,0.1,0.1,0.0,2.2,0.3,0.4
Papierindustrie,2002,1380,0.0,0.2,1385,2.2,0.1,0.0,0.1,0.1,3.1,0.5,0.4
Papierindustrie,2003,1317,0.0,0.2,1322,2.4,0.1,0.0,0.1,0.0,2.8,0.3,0.4
Papierindustrie,2004,1316,0.0,0.2,1320,2.2,0.1,0.0,0.1,0.0,3.1,0.2,0.4
Papierindustrie,2005,1566,0.0,0.2,1572,2.0,0.0,0.0,0.0,0.0,3.4,0.4,0.4
Papierindustrie,2006,1524,0.0,0.2,1530,1.9,0.0,0.0,0.0,0.0,2.9,0.5,0.4
Papierindustrie,2007,1288,0.0,0.2,1293,1.9,0.0,0.0,0.0,0.0,2.2,0.7,0.3
Papierindustrie,2008,1085,0.0,0.1,1090,1.7,0.0,0.0,0.0,0.0,2.1,0.5,0.3
Papierindustrie,2009,1049,0.0,0.1,1054,1.5,0.0,0.0,0.0,0.0,1.9,0.4,0.3
Papierindustrie,2010,1154,0.0,0.2,1159,1.5,0.0,0.0,0.0,0.0,2.4,0.5,0.3
Papierindustrie,2011,1075,0.0,0.2,1080,1.5,0.0,0.0,0.0,0.0,2.2,0.5,0.3
Papierindustrie,2012,1068,0.0,0.2,1073,1.4,0.0,0.0,0.0,0.0,2.2,0.4,0.3
Papierindustrie,2013,989,0.0,0.2,993,1.4,0.0,0.0,0.0,0.0,2.2,0.4,0.3
Papierindustrie,2014,1012,0.0,0.2,1017,1.3,0.0,0.0,0.0,0.0,2.1,0.5,0.3
Papierindustrie,2015,880,0.0,0.1,884,1.2,0.0,0.0,0.0,0.0,2.1,0.6,0.3
Papierindustrie,2016,874,0.0,0.1,878,1.2,0.0,0.0,0.0,0.0,2.0,0.8,0.3
Papierindustrie,2017,916,0.0,0.1,920,1.1,0.0,0.0,0.0,0.0,1.7,0.4,0.3
Papierindustrie,2018,819,0.0,0.1,822,1.1,0.0,0.0,0.0,0.0,1.7,0.4,0.3
Papierindustrie,2019,1022,0.0,0.1,1027,1.2,0.0,0.0,0.0,0.0,1.7,0.4,0.3
Grafische industrie,1990,236,0.0,0.0,237,0.4,0.0,0.0,0.0,50.2,0.9,13.1,0.0
Grafische industrie,1991,386,0.0,0.0,388,0.4,0.0,0.0,0.0,40.2,1.0,13.1,0.0
Grafische industrie,1992,386,0.0,0.0,387,0.4,0.0,0.0,0.0,30.1,1.1,13.1,0.0
Grafische industrie,1993,371,0.0,0.0,372,0.5,0.0,0.0,0.0,20.1,1.1,13.1,0.0
Grafische industrie,1994,249,0.0,0.0,250,0.5,0.0,0.0,0.0,10.0,1.2,13.1,0.0
Grafische industrie,1995,193,0.0,0.0,193,0.5,0.0,0.0,0.0,0.0,1.3,13.2,0.0
Grafische industrie,1996,220,0.0,0.0,221,0.5,0.0,0.0,0.0,0.0,1.7,12.4,0.0
Grafische industrie,1997,200,0.0,0.0,201,0.5,0.0,0.0,0.0,0.0,0.5,12.2,0.0
Grafische industrie,1998,215,0.0,0.0,215,0.5,0.0,0.0,0.0,0.0,0.8,12.4,0.0
Grafische industrie,1999,228,0.0,0.0,229,0.5,0.0,0.0,0.0,0.0,1.0,11.2,0.0
Grafische industrie,2000,226,0.0,0.0,227,0.5,0.0,0.0,0.0,0.0,1.1,11.0,0.0
Grafische industrie,2001,230,0.0,0.0,231,0.5,0.0,0.0,0.0,0.0,1.3,7.7,0.0
Grafische industrie,2002,214,0.0,0.0,215,0.5,0.0,0.0,0.0,0.0,1.0,7.4,0.0
Grafische industrie,2003,215,0.0,0.0,216,0.4,0.0,0.0,0.0,0.0,1.1,5.6,0.0
Grafische industrie,2004,234,0.0,0.0,234,0.4,0.0,0.0,0.0,0.0,1.0,5.5,0.0
Grafische industrie,2005,224,0.0,0.0,225,0.4,0.0,0.0,0.0,0.0,1.5,5.4,0.0
Grafische industrie,2006,190,0.0,0.0,191,0.4,0.0,0.0,0.0,0.0,1.7,4.6,0.0
Grafische industrie,2007,180,0.0,0.0,181,0.4,0.0,0.0,0.0,0.0,1.0,4.2,0.0
Grafische industrie,2008,195,0.0,0.0,196,0.4,0.0,0.0,0.0,0.0,1.1,3.8,0.0
Grafische industrie,2009,128,0.0,0.0,130,0.3,0.0,0.0,0.0,0.0,1.1,3.7,0.0
Grafische industrie,2010,125,0.0,0.0,126,0.3,0.0,0.0,0.0,0.0,0.8,3.4,0.0
Grafische industrie,2011,101,0.0,0.0,102,0.3,0.0,0.0,0.0,0.0,0.4,3.1,0.0
Grafische industrie,2012,107,0.0,0.0,108,0.2,0.0,0.0,0.0,0.0,0.4,3.4,0.0
Grafische industrie,2013,87,0.0,0.0,88,0.2,0.0,0.0,0.0,0.0,0.4,3.6,0.0
Grafische industrie,2014,67,0.0,0.0,68,0.2,0.0,0.0,0.0,0.0,0.4,3.1,0.0
Grafische industrie,2015,73,0.0,0.0,73,0.2,0.0,0.0,0.0,0.0,0.4,2.8,0.0
Grafische industrie,2016,74,0.0,0.0,75,0.2,0.0,0.0,0.0,0.0,0.4,2.9,0.0
Grafische industrie,2017,76,0.0,0.0,77,0.1,0.0,0.0,0.0,0.0,0.4,3.3,0.0
